Clave,Concepto,Unidad
,NECESARIO PARA SU CORRECTA EJECUCIÓN.,
CRTC-ALBN-018,TRABE T-2 DE CONCRETO F´C= 250 KG/CM2 DE,M
,"DIMENSIONES 10x15 CM, ARMADA CON 2",
,"VARILLAS DE #3 EN LECHO SUPERIOR, 2",
,VARILLAS DE #4 EN EL LECHO INFERIOR Y 2,
,VARILLAS DE #3 EN LECHO INFERIOR; CON,
,"ESTRIBOS Y GRAPAS DE 3/8, @ 10-20-10 CM.",
,"INCLUYE: MATERIALES, ACARREOS, CORTES,",
,"DESPERDICIOS, TRASLAPES, AMARRES,",
,"CIMBRADO, COLADO, DESCIMBRADO, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-019,TRABE T-3 DE CONCRETO F´C= 250 KG/CM2 DE,M
,"DIMENSIONES 20x25 CM, ARMADA CON 2",
,"VARILLAS DE #3 EN LECHO SUPERIOR , 1 VARILLA",
,DE #3 EN EL LECHO INFERIOR Y 2 VARILLAS DE,
,#4 EN LECHO INFERIOR; CON ESTRIBOS Y,
,"GRAPAS DE 3/8, @ 10-20-10 CM. INCLUYE:",
,"MATERIALES, ACARREOS, CORTES,",
,"DESPERDICIOS, TRASLAPES, AMARRES,",
,"CIMBRADO, COLADO, DESCIMBRADO, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-020,TRABE T-4 DE CONCRETO F´C= 250 KG/CM2 DE,M
,"DIMENSIONES 10X17 CM, ARMADA CON 2",
,"VARILLAS DE #4 EN EL LECHO SUPERIOR, 2",
,VARILLAS DE #3 EN LA PARTE MEDIA Y 2,
,VARILLAS DEL #6 EN EL LECHO INFERIOR; CON,
,"ESTRIBOS Y GRAPAS DE 3/8, @ 10-20-10 CM.",
,"INCLUYE: MATERIALES, ACARREOS, CORTES,",
,"DESPERDICIOS, TRASLAPES, AMARRES,",
,"CIMBRADO, COLADO, DESCIMBRADO, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-ALBN-021,FIRME DE CONCRETO ARMADO DE 8 CM DE,M2
,"ESPESOR, CONCRETO F'C=150 KG/CM2,",
,ACABADO ESCOBILLADO FINO. INCLUYE:,
,"PREPARACION DE LA SUPERFICIE, MATERIAL,",
,"MANO DE OBRA, HERRAMIENTAS, ACARREOS",
,"LOCALES, LIMPIEZA Y RETIRO DE SOBRANTES",
,FUERA DE LA OBRA.,
CRTC-ALBN-022,CIMBRA PERIMETRAL EN LOSA DE 10 CM DE,M
,"ESPESOR, INCLUYE SUMINISTRO DE",
,"MATERIALES, MANO DE OBRA Y HERRAMIENTAS.",
CRTC-ALBN-023,LOSA DE CONCRETO F´C 250 KG/CM2 DE 10 CM,M2
,"DE ESPESOR, ARMADA CON VARILLA DE 3/8"" @",
,"20 CMS EN AMBOS SENTIDOS, INCLUYE:",
,"VAYONETEADO DE VARILLAS,BASTONES SEGÚN",
,"PLANO ESTRUCTURAL, CIMBRADO Y",
,"DESCIMBRADO, VIBRADO DE CONCRETO,",
,CURADO DE LOSA.,
CRTC-ALBN-024,JUNTA CONSTRUCTIVA EN CASTILLOS DE 15 CM,M
,"A BASE DE CELOTEX, INCLUYE SUMINISTRO DE",
,"MATERIALES, MANO DE OBRA Y HERRAMIENTA.",
CRTC-ALBN-025,"REPISÓN DE DIMENSIONES 1.00 x 0.60 M, HECHO",PZA
,DE CONCRETO F´C= 100 KG/CM2. INCLUYE:,
,"PREPARACION DE LA SUPERFICIE, CIMBRADO Y",
,"DESCIMBRADO, MATERIAL, MANO DE OBRA,",
,"HERRAMIENTAS, ACARREOS LOCALES, LIMPIEZA",
,Y RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: CLOSET DE BLANCOS.,
CRTC-ALBN-026,"REPISÓN DE DIMENSIONES 2.75 x 0.60 M, HECHO",PZA
,DE CONCRETO F´C= 100 KG/CM2. INCLUYE:,
,"PREPARACION DE LA SUPERFICIE, CIMBRADO Y",
,"DESCIMBRADO, MATERIAL, MANO DE OBRA,",
,"HERRAMIENTAS, ACARREOS LOCALES, LIMPIEZA",
,Y RETIRO DE SOBRANTES FUERA DE LA OBRA.,
,NOTA: CLOSET RECÁMARA 1.,
CRTC-ALBN-027,"REPISÓN DE DIMENSIONES 2.00 x 0.50 M, HECHO",PZA
,DE CONCRETO F´C= 100 KG/CM2. INCLUYE:,
,"PREPARACION DE LA SUPERFICIE, CIMBRADO Y",
,"DESCIMBRADO, MATERIAL, MANO DE OBRA,",
,"HERRAMIENTAS, ACARREOS LOCALES, LIMPIEZA",
